Date,Last Price,Price_adj,Volume
12/4/2024,111-08,111.25,1760775
12/3/2024,110-31,110.96875,1568804
12/2/2024,111-03+,111.109375,1784041
11/29/2024,111-06,111.1875,31510
11/27/2024,110-29,110.90625,571957
11/26/2024,110-16,110.5,2106572
11/25/2024,110-22+,110.703125,4813867
11/22/2024,109-26,109.8125,3672423
11/21/2024,109-21+,109.671875,3604589
11/20/2024,109-27+,109.859375,1945465
11/19/2024,110-00+,110.015625,2172126
11/18/2024,109-25+,109.796875,1430816
11/15/2024,109-22+,109.703125,2503718
11/14/2024,109-23,109.71875,2313406
11/13/2024,109-19,109.59375,2367189
11/12/2024,109-19,109.59375,2207860
11/11/2024,110-02+,110.078125,757689
11/8/2024,110-14+,110.453125,2175011
11/7/2024,110-11+,110.359375,2960011
11/6/2024,109-23,109.71875,4168617
11/5/2024,110-18+,110.578125,1911100
11/4/2024,110-17,110.53125,2034586
11/1/2024,110-06+,110.203125,3154639
10/31/2024,110-20+,110.640625,3372923
10/30/2024,110-28,110.875,2755014
10/29/2024,110-29+,110.921875,2372559
10/28/2024,110-28,110.875,2056790
10/25/2024,111-07+,111.234375,1949563
10/24/2024,111-14+,111.453125,1995070
10/23/2024,111-06+,111.203125,1944719
10/22/2024,111-16+,111.515625,2321739
10/21/2024,111-22,111.6875,2004525
10/18/2024,112-12+,112.390625,1539530
10/17/2024,112-07,112.21875,1877074
10/16/2024,112-22+,112.703125,1540190
10/15/2024,112-19+,112.609375,1780932
10/14/2024,112-01,112.03125,718242
10/11/2024,112-13+,112.421875,1485457
10/10/2024,112-08,112.25,2695481
10/9/2024,112-12,112.375,1677790
10/8/2024,112-20+,112.640625,1626785
10/7/2024,112-21,112.65625,2482450
10/4/2024,113-00+,113.015625,3056066
10/3/2024,114-02+,114.078125,2060271
10/2/2024,114-19,114.59375,1824431
10/1/2024,114-27+,114.859375,2565634
9/30/2024,114-14+,114.453125,2461714
9/27/2024,114-29,114.90625,1961298
9/26/2024,114-18+,114.578125,2098994
9/25/2024,114-23,114.71875,1697399
9/24/2024,115-00+,115.015625,2043257
9/23/2024,114-30,114.9375,1834960
9/20/2024,115-00+,115.015625,1884141
9/19/2024,114-29,114.90625,2317517
9/18/2024,115-08,115.25,2413012
9/17/2024,115-17+,115.546875,1801966
9/16/2024,115-23+,115.734375,1484483
9/13/2024,115-19,115.59375,1642614
9/12/2024,115-11+,115.359375,2304848
9/11/2024,115-16,115.5,2770983
9/10/2024,115-20,115.625,1931391
9/9/2024,115-07,115.21875,1638614
9/6/2024,115-06,115.1875,3589916
9/5/2024,114-29+,114.921875,2283584
9/4/2024,114-23+,114.734375,2262354
9/3/2024,114-05+,114.171875,2520765
8/30/2024,113-23+,113.734375,33598
8/29/2024,114,114,361182
8/28/2024,114-07,114.21875,1816714
8/27/2024,114-06+,114.203125,6299327
8/26/2024,114-09,114.28125,4044694
8/23/2024,114-12+,114.390625,3189187
8/22/2024,113-31+,113.984375,3456441
8/21/2024,114-18+,114.578125,2634704
8/20/2024,114-08,114.25,1626916
8/19/2024,113-29,113.90625,1352232
8/16/2024,113-25+,113.796875,1717942
8/15/2024,113-20+,113.640625,2308793
8/14/2024,114-14+,114.453125,2029311
8/13/2024,114-10,114.3125,1726759
8/12/2024,113-29+,113.921875,1577280
8/9/2024,113-20+,113.640625,1433071
8/8/2024,113-11,113.34375,2433664
8/7/2024,113-18+,113.578125,2615001
8/6/2024,114-02+,114.078125,2774865
8/5/2024,114-24+,114.765625,3977072
8/2/2024,114-26+,114.828125,4296366
8/1/2024,113-13+,113.421875,3433253
7/31/2024,112-16,112.5,3268894
7/30/2024,112-08,112.25,1781389
7/29/2024,112-01,112.03125,1565130
7/26/2024,111-28+,111.890625,1856623
7/25/2024,111-15+,111.484375,3055709
7/24/2024,111-11+,111.359375,2637572
7/23/2024,111-18,111.5625,1402604
7/22/2024,111-13,111.40625,1409017
7/19/2024,111-16+,111.515625,1573847
7/18/2024,111-29,111.90625,1862237
7/17/2024,112-04,112.125,1811339
7/16/2024,112-00+,112.015625,2198585
7/15/2024,111-21+,111.671875,1879264
7/12/2024,111-28,111.875,1993977
7/11/2024,111-27,111.84375,2754645
7/10/2024,111-06,111.1875,1671220
7/9/2024,111-03,111.09375,1622679
7/8/2024,111-09,111.28125,1282523
7/5/2024,111-09+,111.296875,1979719
7/3/2024,110-23+,110.734375,1766051
7/2/2024,110-05,110.15625,1719084
7/1/2024,109-27+,109.859375,2221764
6/28/2024,110-21+,110.671875,3146809
6/27/2024,110-30,110.9375,1948452
6/26/2024,110-24,110.75,1869887
6/25/2024,111-09,111.28125,1574033
6/24/2024,111-07,111.21875,1193239
6/21/2024,111-06,111.1875,1435596
6/20/2024,111-07+,111.234375,1722710
6/18/2024,111-15+,111.484375,1819290
6/17/2024,111-03,111.09375,1533894
6/14/2024,111-17,111.53125,2305109
6/13/2024,111-13,111.40625,2372261
6/12/2024,111,111,2862922
6/11/2024,110-07+,110.234375,1807422
6/10/2024,109-25,109.78125,1341950
6/7/2024,110,110,2396978
6/6/2024,111-01+,111.046875,1842916
6/5/2024,110-31+,110.984375,2567287
6/4/2024,110-22+,110.703125,2363438
6/3/2024,110-08,110.25,1880068
5/31/2024,109-15+,109.484375,96326
5/30/2024,109-07+,109.234375,628261
5/29/2024,108-24+,108.765625,2233059
5/28/2024,109-09+,109.296875,4805222
5/24/2024,109-22+,109.703125,3512151
5/23/2024,109-23,109.71875,3996052
5/22/2024,110-01,110.03125,2186516
5/21/2024,110-07+,110.234375,1502913
5/20/2024,110-03,110.09375,1156162
5/17/2024,110-06,110.1875,1290257
5/16/2024,110-15+,110.484375,1820317
5/15/2024,110-23,110.71875,2721526
5/14/2024,110-03,110.09375,1824374
5/13/2024,109-26+,109.828125,1216286
5/10/2024,109-22+,109.703125,1473969
5/9/2024,110-03,110.09375,1881170
5/8/2024,109-26+,109.828125,1633702
5/7/2024,110-00+,110.015625,1719822
5/6/2024,109-28+,109.890625,1242860
5/3/2024,109-27+,109.859375,2883515
5/2/2024,109-11+,109.359375,2083746
5/1/2024,109-03+,109.109375,2218852
4/30/2024,108-14,108.4375,2697134
4/29/2024,108-30+,108.953125,1590605
4/26/2024,108-18+,108.578125,1825113
4/25/2024,108-11+,108.359375,2584220
4/24/2024,108-23+,108.734375,2003168
4/23/2024,109-02+,109.078125,2013413
4/22/2024,108-27+,108.859375,1414828
4/19/2024,108-29,108.90625,2268383
4/18/2024,108-22+,108.703125,2240406
4/17/2024,109-05,109.15625,2317526
4/16/2024,108-21+,108.671875,2874408
4/15/2024,108-28+,108.890625,3265675
4/12/2024,109-22,109.6875,2503302
4/11/2024,109-03+,109.109375,3034817
4/10/2024,109-06+,109.203125,3560419
4/9/2024,110-20+,110.640625,1645443
4/8/2024,110-08+,110.265625,1884106
4/5/2024,110-21,110.65625,2387012
4/4/2024,111-04,111.125,2198530
4/3/2024,110-25+,110.796875,2333649
4/2/2024,110-23,110.71875,2241221
4/1/2024,110-29+,110.921875,1439886
3/28/2024,111-25+,111.796875,1851548
3/27/2024,111-28,111.875,1466914
3/26/2024,111-20+,111.640625,1308297
3/25/2024,111-16+,111.515625,1123679
3/22/2024,111-24,111.75,1352658
3/21/2024,111-12+,111.390625,1864162
3/20/2024,111-14,111.4375,1804600
3/19/2024,111-04+,111.140625,1484543
3/18/2024,110-26,110.8125,1279370
3/15/2024,111-02+,111.078125,1628369
3/14/2024,111-06+,111.203125,2301427
3/13/2024,111-30,111.9375,1500095
3/12/2024,112-05+,112.171875,2143179
3/11/2024,112-19,112.59375,1343546
3/8/2024,112-23+,112.734375,2188001
3/7/2024,112-21,112.65625,1935948
3/6/2024,112-15+,112.484375,2312376
3/5/2024,112-09+,112.296875,1996086
3/4/2024,111-24,111.75,1348230
3/1/2024,112-01,112.03125,2716603
2/29/2024,111-14,111.4375,85058
2/28/2024,111-10+,111.328125,486902
2/27/2024,111-01+,111.046875,2419680
2/26/2024,111-04,111.125,5341315
2/23/2024,111-12+,111.390625,4246944
2/22/2024,111-00+,111.015625,4468034
2/21/2024,111-04+,111.140625,2325483
