Date,Last Price,Volume
12/4/2024,136.73,1005265
12/3/2024,136.81,1475133
12/2/2024,137.04,1360783
11/29/2024,136.41,1381715
11/28/2024,136,812083
11/27/2024,135.6,1369225
11/26/2024,135.2,1048094
11/25/2024,135.24,1086463
11/22/2024,134.74,1246179
11/21/2024,134.11,1155768
11/20/2024,133.71,987910
11/19/2024,133.96,1267913
11/18/2024,133.57,823054
11/15/2024,133.83,937479
11/14/2024,133.77,1077146
11/13/2024,133.46,1171307
11/12/2024,133.92,1006470
11/11/2024,134.14,696111
11/8/2024,133.71,996987
11/7/2024,133.05,1599903
11/6/2024,133.36,1620587
11/5/2024,133.08,1013007
11/4/2024,133.43,934195
11/1/2024,133.27,1121297
10/31/2024,133.43,1860968
10/30/2024,133.6,1632594
10/29/2024,134.14,1086815
10/28/2024,134.65,957100
10/25/2024,134.73,937983
10/24/2024,135.14,1226791
10/23/2024,134.34,1200170
10/22/2024,134.46,1367293
10/21/2024,134.79,1154139
10/18/2024,135.82,895826
10/17/2024,135.47,1186612
10/16/2024,135.83,926447
10/15/2024,135.38,983584
10/14/2024,134.77,608415
10/11/2024,134.78,895994
10/10/2024,134.92,1040934
10/9/2024,135.04,852977
10/8/2024,135.08,992127
10/7/2024,135.07,1033487
10/4/2024,135.55,1228084
10/3/2024,136.43,1193711
10/2/2024,136.77,1131649
10/1/2024,137.51,1476306
9/30/2024,136.55,1271054
9/27/2024,136.44,1189391
9/26/2024,136.12,1209299
9/25/2024,136.07,1032680
9/24/2024,136.58,1275607
9/23/2024,136.13,1214018
9/20/2024,135.56,933186
9/19/2024,135.95,1091561
9/18/2024,135.95,941302
9/17/2024,136.44,941938
9/16/2024,136.67,768417
9/13/2024,136.35,754199
9/12/2024,136.36,1110409
9/11/2024,136.99,1201095
9/10/2024,136.4,998389
9/9/2024,136.19,843304
9/6/2024,136.18,1263635
9/5/2024,135.68,1143350
9/4/2024,135.69,812204
9/3/2024,135.06,1177760
9/2/2024,134.41,801181
8/30/2024,135.03,1107966
8/29/2024,135,1266188
8/28/2024,135.21,773877
8/27/2024,134.99,885263
8/26/2024,135.44,600525
8/23/2024,135.67,643023
8/22/2024,135.37,788636
8/21/2024,135.91,787757
8/20/2024,135.75,701611
8/19/2024,135.27,505866
8/16/2024,135.38,542253
8/15/2024,135.25,603647
8/14/2024,136.21,690667
8/13/2024,136.18,617070
8/12/2024,135.53,493490
8/9/2024,135.7,513278
8/8/2024,135.24,772324
8/7/2024,135.24,974925
8/6/2024,136.15,1107569
8/5/2024,136.31,1435400
8/2/2024,136.34,1398136
8/1/2024,135.58,1047082
7/31/2024,134.85,1046073
