Date,LEGATRUU
12/3/2024,473.0007
12/2/2024,472.6972
11/29/2024,473.5977
11/28/2024,471.5347
11/27/2024,471.2785
11/26/2024,468.4447
11/25/2024,468.7401
11/22/2024,465.2029
11/21/2024,466.1022
11/20/2024,465.7922
11/19/2024,467.5689
11/18/2024,466.382
11/15/2024,465.8273
11/14/2024,466.0332
11/13/2024,466.4966
11/12/2024,467.4456
11/11/2024,470.2921
11/8/2024,471.7459
11/7/2024,471.4996
11/6/2024,468.4036
11/5/2024,473.215
11/4/2024,473.1145
11/1/2024,470.7268
10/31/2024,471.9887
10/30/2024,472.1268
10/29/2024,471.6787
10/28/2024,472.2047
10/25/2024,473.2958
10/24/2024,473.6096
10/23/2024,471.921
10/22/2024,473.7353
10/21/2024,474.8797
10/18/2024,477.7025
10/17/2024,476.7147
10/16/2024,478.6127
10/15/2024,478.2745
10/14/2024,477.1038
10/11/2024,477.7001
10/10/2024,477.4146
10/9/2024,477.7463
10/8/2024,479.0265
10/7/2024,479.2905
10/4/2024,480.6236
10/3/2024,484.1022
10/2/2024,485.9608
10/1/2024,488.2876
9/30/2024,488.3581
9/27/2024,489.2062
9/26/2024,487.5192
9/25/2024,487.727
9/24/2024,488.7005
9/23/2024,487.4375
9/20/2024,486.9141
9/19/2024,487.609
9/18/2024,487.603
9/17/2024,488.8022
9/16/2024,489.6182
9/13/2024,488.1201
9/12/2024,485.7609
9/11/2024,486.3126
9/10/2024,485.375
9/9/2024,484.8801
9/6/2024,486.105
9/5/2024,484.1386
9/4/2024,483.4337
9/3/2024,480.4911
9/2/2024,479.1531
8/30/2024,480.186
8/29/2024,480.5991
8/28/2024,482.0127
8/27/2024,482.505
8/26/2024,483.1429
8/23/2024,482.7652
8/22/2024,480.2648
8/21/2024,481.7476
8/20/2024,480.8521
8/19/2024,478.9612
8/16/2024,476.7542
8/15/2024,475.9438
8/14/2024,478.8733
8/13/2024,476.9046
8/12/2024,474.7692
8/9/2024,474.8427
8/8/2024,473.354
8/7/2024,473.6813
8/6/2024,475.8446
8/5/2024,479.0749
8/2/2024,476.1118
8/1/2024,470.3781
7/31/2024,469.0874
7/30/2024,465.9636
7/29/2024,465.6608
7/26/2024,465.3376
7/25/2024,464.5913
7/24/2024,463.7819
7/23/2024,463.5134
7/22/2024,463.5413
7/19/2024,463.7474
7/18/2024,465.4285
7/17/2024,466.0746
7/16/2024,464.6456
7/15/2024,464.1461
7/12/2024,464.4929
7/11/2024,463.2747
7/10/2024,459.9104
7/9/2024,459.2751
7/8/2024,460.257
7/5/2024,459.6163
7/4/2024,457.8716
7/3/2024,457.8975
7/2/2024,455.2678
7/1/2024,454.4306
6/28/2024,456.4821
6/27/2024,457.3542
6/26/2024,456.842
6/25/2024,458.9722
6/24/2024,459.1774
6/21/2024,458.3809
6/20/2024,459.1541
6/19/2024,460.3098
6/18/2024,460.1351
6/17/2024,458.7298
6/14/2024,459.6999
6/13/2024,459.6911
6/12/2024,459.8349
6/11/2024,455.8977
6/10/2024,455.1536
6/7/2024,457.2077
6/6/2024,460.5829
6/5/2024,460.3793
6/4/2024,459.9708
6/3/2024,458.2135
5/31/2024,455.8279
5/30/2024,454.8358
5/29/2024,453.2259
5/28/2024,455.9955
5/27/2024,456.8016
5/24/2024,456.1805
5/23/2024,455.7495
5/22/2024,457.2298
5/21/2024,458.3215
5/20/2024,457.8149
5/17/2024,458.6217
5/16/2024,459.7233
5/15/2024,459.6619
5/14/2024,456.3557
5/13/2024,455.9388
5/10/2024,455.2353
5/9/2024,456.117
5/8/2024,455.7133
5/7/2024,457.2848
5/6/2024,456.3286
5/3/2024,455.7081
5/2/2024,452.7332
5/1/2024,450.3329
4/30/2024,449.9313
4/29/2024,451.6293
4/26/2024,449.926
4/25/2024,449.9182
4/24/2024,450.8012
4/23/2024,452.2242
4/22/2024,451.1985
4/19/2024,451.3296
4/18/2024,450.9419
4/17/2024,451.1684
4/16/2024,449.8494
4/15/2024,451.3836
4/12/2024,453.8399
4/11/2024,453.292
4/10/2024,455.1511
4/9/2024,459.895
4/8/2024,458.3895
4/5/2024,458.3976
4/4/2024,460.5667
4/3/2024,458.8447
4/2/2024,458.0098
4/1/2024,458.9723
3/29/2024,461.58
3/28/2024,461.6385
3/27/2024,461.6508
3/26/2024,460.7004
3/25/2024,460.6106
3/22/2024,460.8676
3/21/2024,460.5457
3/20/2024,460.0349
3/19/2024,459.8942
3/18/2024,460.0204
3/15/2024,460.1849
3/14/2024,461.0163
3/13/2024,463.8424
3/12/2024,464.1732
3/11/2024,465.3395
3/8/2024,466.199
3/7/2024,464.5922
3/6/2024,463.2707
3/5/2024,461.9936
3/4/2024,459.8748
3/1/2024,459.9244
2/29/2024,459.0528
2/28/2024,458.0106
2/27/2024,457.9542
2/26/2024,458.4517
2/23/2024,458.711
2/22/2024,457.3412
2/21/2024,457.0384
2/20/2024,458.3658
2/19/2024,456.7485
2/16/2024,456.762
2/15/2024,457.7304
2/14/2024,456.1865
2/13/2024,455.1291
2/12/2024,458.4407
2/9/2024,458.3418
2/8/2024,458.4088
2/7/2024,459.9842
2/6/2024,459.9766
2/5/2024,458.0609
2/2/2024,462.0997
2/1/2024,465.9222
1/31/2024,464.8953
1/30/2024,461.9355
1/29/2024,461.362
1/26/2024,460.3985
1/25/2024,460.4392
1/24/2024,460.2457
1/23/2024,459.629
1/22/2024,461.1357
1/19/2024,460.0139
1/18/2024,459.5195
1/17/2024,459.9685
1/16/2024,462.4993
1/15/2024,465.7639
1/12/2024,466.6197
1/11/2024,464.8836
1/10/2024,464.236
1/9/2024,464.5124
1/8/2024,465.6133
1/5/2024,464.8735
1/4/2024,465.0098
1/3/2024,466.5538
1/2/2024,467.7115
12/29/2023,471.3998
12/28/2023,472.7737
12/27/2023,472.8184
12/26/2023,469.5732
12/25/2023,469.1785
12/22/2023,469.1249
12/21/2023,469.0643
12/20/2023,468.5112
12/19/2023,466.933
12/18/2023,465.2428
12/15/2023,466.6693
12/14/2023,466.7879
12/13/2023,459.7757
12/12/2023,455.9018
12/11/2023,454.3144
12/8/2023,455.5488
12/7/2023,457.4425
12/6/2023,456.9881
12/5/2023,455.8858
12/4/2023,453.9305
12/1/2023,454.2604
11/30/2023,452.5896
11/29/2023,454.5561
11/28/2023,452.0957
11/27/2023,449.7814
11/24/2023,447.6766
11/23/2023,448.4186
11/22/2023,448.2004
11/21/2023,450.0582
11/20/2023,448.7631
11/17/2023,446.9313
11/16/2023,446.0444
11/15/2023,444.3006
11/14/2023,444.4007
11/13/2023,438.6501
11/10/2023,438.4627
11/9/2023,439.639
11/8/2023,441.1429
11/7/2023,439.8622
11/6/2023,439.5807
11/3/2023,440.3894
11/2/2023,436.1851
11/1/2023,432.8777
10/31/2023,430.8629
10/30/2023,432.3659
10/27/2023,432.0305
10/26/2023,431.0337
10/25/2023,430.3339
10/24/2023,432.3472
10/23/2023,431.5238
